prplRqstNo,instRcptSn
1AB-2509-0013589,201097388
1AB-2509-0013598,201097387
1AB-2509-0013583,201097358
1AB-2509-0013550,201097357
1AB-2509-0013572,201097346
1AB-2509-0013523,201097312
1AB-2509-0013521,201097305
1AB-2509-0013524,201097304
1AB-2509-0013513,201097275
1AB-2509-0013464,201097247
1AB-2509-0013458,201097239
1AB-2509-0013351,201097231
1AB-2509-0013445,201097223
1AB-2509-0013437,201097212
1AB-2509-0013391,201097202
1AB-2509-0013359,201097186
1AB-2509-0013387,201097183
1AB-2509-0013345,201097170
1AB-2509-0013348,201097039
1AB-2509-0013346,201097037
1AB-2509-0013312,201097023
1AB-2509-0013323,201097021
1AB-2509-0013314,201097017
1AB-2509-0013308,201097013
1AB-2509-0013244,201096954
1AB-2509-0013234,201096946
1AB-2509-0013224,201096943
1AB-2509-0013225,201096942
1AB-2509-0013214,201096939
1AB-2509-0013216,201096936
1AB-2509-0013215,201096935
1AB-2509-0013213,201096934
1AB-2509-0013205,201096927
1AB-2509-0013200,201096922
1AB-2509-0013196,201096918
1AB-2509-0013182,201096912
1AB-2509-0013162,201096909
1AB-2509-0013164,201096900
1AB-2509-0013149,201096895
1AB-2509-0013104,201096852
1AB-2509-0013071,201096843
1AB-2509-0013030,201096814
1AB-2509-0013027,201096808
1AB-2509-0013048,201096797
1AB-2509-0013037,201096791
1AB-2509-0012965,201096748
1AB-2509-0012976,201096738
1AB-2509-0012945,201096730
1AB-2509-0012925,201096693
1AB-2509-0012927,201096692
1AB-2509-0012905,201096688
1AB-2509-0012803,201096589
1AB-2509-0012798,201096583
1AB-2509-0012795,201096579
1AB-2509-0012794,201096578
1AB-2509-0012790,201096577
1AB-2509-0012771,201096566
1AB-2509-0012768,201096558
1AB-2509-0012763,201096555
1AB-2509-0012757,201096554
1AB-2509-0012739,201097292
1AB-2509-0012738,201096535
1AB-2509-0012724,201096526
1AB-2509-0012724,201097293
1AB-2509-0012724,201097294
1AB-2509-0012663,201096471
1AB-2509-0012664,201096470
1AB-2509-0012656,201096469
1AB-2509-0012657,201096467
1AB-2509-0012650,201096465
1AB-2509-0012642,201096461
1AB-2509-0012641,201096460
1AB-2509-0012626,201096452
1AB-2509-0012617,201096448
1AB-2509-0012616,201096447
1AB-2509-0012615,201096446
1AB-2509-0012606,201096444
1AB-2509-0012611,201096443
1AB-2509-0012610,201096442
1AB-2509-0012604,201096441
1AB-2509-0012583,201096439
1AB-2509-0012602,201096436
1AB-2509-0012601,201096435
1AB-2509-0012600,201096433
1AB-2509-0012597,201096432
1AB-2509-0012594,201096430
1AB-2509-0012593,201096429
1AB-2509-0012532,201096394
1AB-2509-0012499,201098854
1AB-2509-0012499,201096386
1AB-2509-0012518,201096383
1AB-2509-0012507,201096354
1AB-2509-0012476,201096340
1AB-2509-0012423,201096279
1AB-2509-0012425,201096278
1AB-2509-0012418,201096277
1AB-2509-0012413,201096276
1AB-2509-0012419,201096275
1AB-2509-0012410,201096268
1AB-2509-0012389,201096257
1AB-2509-0012390,201096256
1AB-2509-0012365,201096240
1AB-2509-0012362,201096235
1AB-2509-0012350,201096220
1AB-2509-0012342,201096219
1AB-2509-0012344,201096217
1AB-2509-0012319,201096209
1AB-2509-0012330,201096202
1AB-2509-0012322,201096199
1AB-2509-0012301,201096184
1AB-2509-0012275,201096180
1AB-2509-0012272,201096174
1AB-2509-0012265,201096170
1AB-2509-0012258,201096168
1AB-2509-0012259,201096166
1AB-2509-0012245,201096160
1AB-2509-0012247,201096159
1AB-2509-0012251,201096158
1AB-2509-0012250,201096156
1AB-2509-0012238,201096155
1AB-2509-0012230,201096154
1AB-2509-0012182,201096149
1AB-2509-0012226,201096142
1AB-2509-0012065,201096139
1AB-2509-0012106,201096129
1AB-2509-0012153,201096125
1AB-2509-0012198,201096101
1AB-2509-0012193,201096098
1AB-2509-0012168,201096086
1AB-2509-0012160,201096076
1AB-2509-0012152,201096071
1AB-2509-0012147,201096067
1AB-2509-0012137,201096063
1AB-2509-0012132,201096055
1AB-2509-0012123,201096054
1AB-2509-0012122,201096049
1AB-2509-0012125,201096047
1AB-2509-0012119,201096039
1AB-2509-0012104,201096033
1AB-2509-0012093,201096031
1AB-2509-0012099,201096030
1AB-2509-0012059,201096003
1AB-2509-0012055,201096001
1AB-2509-0012060,201095997
1AB-2509-0012046,201095990
1AB-2509-0012034,201095959
1AB-2509-0012037,201095957
1AB-2509-0012035,201095956
1AB-2509-0012014,201095946
1AB-2509-0012006,201095938
1AB-2509-0011974,201095936
1AB-2509-0011940,201095917
1AB-2509-0011958,201095904
1AB-2509-0011953,201095899
1AB-2509-0011892,201095882
1AB-2509-0011839,201095874
1AB-2509-0011910,201095866
1AB-2509-0011893,201095858
1AB-2509-0011837,201095855
1AB-2509-0011858,201095848
1AB-2509-0011883,201095841
1AB-2509-0011881,201095839
1AB-2509-0011878,201095837
1AB-2509-0011874,201095836
1AB-2509-0011873,201095835
1AB-2509-0011871,201095831
1AB-2509-0011869,201095830
1AB-2509-0011859,201095823
1AB-2509-0011843,201095813
1AB-2509-0011826,201095812
1AB-2509-0011838,201095811
1AB-2509-0011814,201095805
1AB-2509-0011789,201095773
1AB-2509-0011790,201095769
1AB-2509-0011778,201095767
1AB-2509-0011783,201095766
1AB-2509-0011774,201095764
1AB-2509-0011776,201095762
1AB-2509-0011708,201095756
1AB-2509-0011696,201095691
1AB-2509-0011695,201095690
1AB-2509-0011694,201095689
1AB-2509-0011693,201095688
1AB-2509-0011692,201095687
1AB-2509-0011691,201095686
1AB-2509-0011685,201095685
1AB-2509-0011690,201095684
1AB-2509-0011688,201095682
1AB-2509-0011687,201095681
1AB-2509-0011679,201095674
1AB-2509-0011676,201095672
1AB-2509-0011672,201095670
1AB-2509-0011645,201095665
1AB-2509-0011654,201095663
1AB-2509-0011648,201095657
1AB-2509-0011655,201095655
1AB-2509-0011649,201095653
1AB-2509-0011631,201095648
1AB-2509-0011628,201095647
1AB-2509-0011632,201095644
1AB-2509-0011616,201095621
1AB-2509-0011625,201095618
1AB-2509-0011607,201095616
